iter	Passed	Remaining
134	1585	10158
135	1594	10128
136	1600	10084
137	1611	10065
138	1617	10021
139	1627	9998
140	1633	9954
141	1645	9942
142	1652	9905
143	1661	9878
144	1668	9835
145	1677	9813
146	1684	9772
147	1693	9747
148	1699	9706
149	1710	9690
150	1717	9654
151	1726	9631
152	1732	9593
153	1743	9578
154	1750	9543
155	1758	9515
156	1764	9476
157	1774	9455
158	1780	9419
159	1789	9397
160	1796	9360
161	1806	9345
162	1813	9310
163	1822	9290
164	1828	9254
165	1839	9241
166	1847	9212
167	1856	9195
168	1862	9160
169	1872	9143
170	1879	9113
171	1890	9101
172	1897	9069
173	1906	9051
174	1913	9020
175	1922	8998
176	1928	8965
177	1938	8950
178	1944	8919
179	1954	8904
180	1961	8873
181	1970	8856
182	1977	8826
183	1986	8808
184	1992	8777
185	2003	8768
186	2010	8739
187	2019	8723
188	2025	8692
189	2035	8678
190	2043	8653
191	2051	8635
192	2058	8605
193	2068	8594
194	2075	8567
195	2085	8552
196	2091	8525
197	2101	8513
198	2108	8486
199	2117	8470
200	2124	8443
201	2133	8428
202	2139	8401
203	2148	8385
204	2155	8357
205	2165	8346
206	2172	8323
207	2181	8306
208	2187	8280
209	2197	8268
210	2204	8243
211	2214	8229
212	2220	8204
213	2231	8195
214	2239	8176
215	2248	8162
216	2255	8137
217	2264	8121
218	2270	8098
219	2280	8086
220	2287	8062
221	2297	8049
222	2303	8025
223	2312	8012
224	2320	7991
225	2329	7979
226	2336	7955
227	2345	7940
228	2351	7918
229	2361	7906
230	2368	7884
231	2378	7872
232	2384	7849
233	2395	7842
234	2402	7821
235	2411	7806
236	2417	7783
237	2427	7772
238	2435	7753
239	2444	7741
240	2451	7721
241	2460	7707
242	2467	7686
243	2477	7676
244	2483	7653
245	2493	7643
246	2500	7622
247	2509	7608
248	2515	7586
249	2524	7574
250	2531	7554
251	2540	7541
252	2546	7520
253	2556	7508
254	2562	7487
255	2573	7479
256	2580	7460
257	2590	7449
258	2597	7430
259	2606	7417
260	2612	7397
261	2622	7387
262	2630	7370
263	2640	7360
264	2647	7342
265	2656	7330
266	2662	7310
267	2672	7300
268	2679	7280
269	2691	7276
270	2701	7267
271	2707	7247
272	2717	7236
273	2724	7218
274	2734	7208
275	2740	7188
276	2750	7178
277	2758	7164
278	2768	7155
279	2777	7143
280	2790	7139
281	2800	7129
282	2808	7114
283	2819	7107
284	2827	7093
285	2837	7083
286	2847	7074
287	2855	7058
288	2864	7048
289	2871	7029
290	2881	7020
291	2887	7002
292	2897	6991
293	2905	6977
294	2916	6968
295	2922	6951
296	2932	6940
297	2938	6921
298	2947	6911
299	2955	6897
300	2964	6885
301	2971	6867
302	2981	6857
303	2988	6841
304	2997	6830
305	3004	6813
306	3013	6802
307	3020	6785
308	3029	6774
309	3036	6758
310	3046	6748
311	3052	6731
312	3061	6719
313	3068	6704
314	3079	6696
315	3085	6679
316	3094	6667
317	3101	6650
318	3111	6643
319	3118	6627
320	3128	6617
321	3136	6603
322	3147	6596
323	3158	6590
324	3166	6576
325	3177	6569
326	3185	6556
327	3195	6546
328	3205	6537
329	3215	6527
330	3225	6518
331	3232	6503
332	3244	6499
333	3255	6491
334	3263	6477
335	3274	6471
336	3282	6457
337	3292	6449
338	3300	6436
339	3311	6427
340	3322	6421
341	3330	6408
342	3342	6401
343	3352	6393
344	3360	6379
345	3373	6376
346	3381	6363
347	3391	6353
348	3401	6344
349	3410	6332
350	3422	6328
351	3430	6314
352	3440	6306
353	3450	6297
354	3458	6283
355	3470	6277
356	3477	6263
357	3487	6253
358	3494	6239
359	3505	6231
360	3513	6218
361	3521	6206
362	3531	6197
363	3541	6188
364	3551	6178
365	3557	6163
366	3569	6157
367	3585	6157
368	3597	6152
369	3606	6140
370	3618	6135
371	3636	6139
372	3648	6133
373	3657	6122
374	3670	6117
375	3684	6114
376	3699	6113
377	3708	6101
378	3719	6094
379	3733	6091
380	3747	6089
381	3755	6076
382	3768	6070
383	3779	6063
384	3787	6049
385	3797	6040
386	3804	6026
387	3813	6015
388	3821	6002
389	3832	5994
390	3841	5983
391	3850	5971
392	3861	5964
393	3869	5951
394	3878	5940
395	3887	5929
396	3899	5922
397	3909	5913
398	3916	5898
399	3927	5891
400	3934	5877
401	3943	5866
402	3949	5851
403	3961	5843
404	3967	5828
405	3976	5817
